Skip to main content

 

ConnectWise University
Welcome back Kyle
 ConnectWise RMM   Patching   Third-Party Patching   Supported Third-Party Applications
Supported Third-Party Applications
Last updated
Nov 20, 2025
Table of contents
No headers

The following are the Third-Party applications that are supported by our Patching.

Note: The following list relates to the legacy third-party patching. For improved Third-Party Patching, navigate to Endpoints > Patches > Approvals and click the Third-Party Patching tab.

Application Name	macOS	Windows
32-bit	64-bit	32-bit	64-bit	arm64
7-Zip	 	 	YES	YES	 
8GadgetPack	 	 	YES	YES	 
ABDownloadManager	 	 	 	YES	 
AdMobilize Desktop UI	 	 	 	YES	 
Adobe Acrobat Reader	 	YES	YES	YES	 
Advanced Sage Password Recovery	 	 	YES	YES	 
Advanced SQL Password Recovery	 	 	YES	YES	 
Agilent Lab Advisor	 	 	 	YES	 
Airtame	 	 	 	YES	 
aleph	 	 	 	YES	 
Amazon Corretto 11	 	YES	YES	YES	 
Amazon Corretto 17	 	YES	YES	YES	 
Amazon Corretto 8	 	YES	YES	YES	 
Amazon Corretto JRE 8	 	 	YES	YES	 
Amazon WorkSpaces	 	 	 	YES	 
AMP Instance Manager	 	 	 	YES	 
Android11React	 	 	 	YES	 
AntiMicro	 	 	 	YES	 
ArdorQuery	 	 	 	YES	 
Arduino CLI	 	 	 	YES	 
Audacity	 	YES	YES	YES	 
Authme	 	 	 	YES	 
AWS VPN Client	 	 	 	YES	 
AXIS Video Capture Driver	 	 	YES	YES	 
Azul Zulu JDK 7	 	 	YES	YES	 
Azul Zulu JDK 8	 	 	YES	YES	 
Azul Zulu JDK 11	 	 	YES	YES	 
Azul Zulu JDK 13	 	 	 	YES	 
Azul Zulu JDK 15	 	 	 	YES	 
Azul Zulu JDK 17	 	 	YES	YES	 
Azul Zulu JDK 19	 	 	 	YES	 
Azul Zulu JDK 20	 	 	 	YES	 
Azul Zulu JDK 21	 	 	 	YES	 
Azul Zulu JDK 22	 	 	 	YES	 
Azul Zulu JRE 7	 	 	YES	YES	 
Azul Zulu JRE 8	 	 	YES	YES	 
Azul Zulu JRE 9	 	 	 	YES	 
Azul Zulu JRE 11	 	 	YES	YES	 
Azul Zulu JRE 13	 	 	 	YES	 
Azul Zulu JRE 15	 	 	YES	YES	 
Azul Zulu JRE 17	 	 	YES	YES	 
Azul Zulu JRE 18	 	 	YES	YES	 
Azure Data Studio	 	 	 	YES	 
Azure Developer CLI	 	 	 	YES	 
Azure Monitor Agent	 	 	 	YES	 
Azure Storage Explorer	 	 	 	YES	 
BAS21	 	 	 	YES	 
BestNotes	 	 	 	YES	 
binjr	 	 	 	YES	 
BITS Manager	 	 	 	YES	 
Bitwarden	 	 	YES	YES	 
bottom	 	 	 	YES	 
Brackets	 	 	 	YES	 
Brosix App	 	 	 	YES	 
Brows	 	 	 	YES	 
calibre	 	 	 	YES	 
Camtasia	 	 	 	YES	 
CCleaner	 	 	YES	YES	 
CertDump	 	 	 	YES	 
ChefDK	 	 	 	YES	 
Chocolatey GUI	 	 	 	YES	 
Chrome Remote Desktop Host	 	 	YES	YES	 
ChucK	 	 	 	YES	 
Cisco Jabber	 	 	 	YES	 
Cisco Webex Meetings	 	 	 	YES	 
